13,49
69,3
50,37
72,25
35,56
84,27
88,12
19,89
42,17
14,70
25,52
60,75
16,85
36,54
23,30
71,56
84,87
1,21
79,20
61,10
94,72
47,63
57,83
55,39
60,46
59,80
73,92
35,16
13,30
99,17
94,14
2,82
37,68
24,58
67,48
79,43
48,80
91,93
71,10
90,22
42,61
74,12
33,38
22,68
38,4
4,76
26,75
40,3
63,57
90,11
55,86
23,19
98,87
69,18
85,5
62,58
15,2
46,7
1,27
50,100
29,51
51,32
62,52
86,18
98,44
34,73
64,32
53,54
39,44
92,89
8,28
99,45
65,6
66,8
53,81
31,24
47,49
6,45
67,29
96,65
66,96
9,33
100,95
82,11
21,97
31,7
59,91
95,40
36,26
64,97
81,83
5,34
28,78
41,88
41,74
20,77
77,93
9,15
43,78
70,76
